what,kind,bundleId,bundleVersion,description,time
stopped,bundle,com.adobe.flexbuilder.json,4.0.1.277662,com.adobe.flexbuilder.json,1289341444643
stopped,bundle,com.adobe.flexbuilder.services.WEBService.derived,4.0.1.277662,com.adobe.flexbuilder.services.WEBService.derived,1289341444643
stopped,bundle,com.adobe.flexide.amt,4.0.1.277662,com.adobe.flexide.amt,1289341444659
stopped,bundle,com.adobe.flexide.communityhelp,4.0.1.277662,com.adobe.flexide.communityhelp,1289341444659
stopped,bundle,com.adobe.flexbuilder.utils.osnative,4.0.1.277662,com.adobe.flexbuilder.utils.osnative,1289341444659
stopped,bundle,com.adobe.flexide.nativelibs,4.0.1.277662,com.adobe.flexide.nativelibs,1289341444675
stopped,bundle,com.adobe.model.core,1.0.2.v20100315273147,com.adobe.model.core,1289341444675
stopped,bundle,org.eclipse.mylyn.ide.ant,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.ide.ant,1289341444675
stopped,bundle,org.eclipse.ant.ui,3.3.1.v20090120_r342,org.eclipse.ant.ui,1289341444675
stopped,bundle,org.eclipse.mylyn.java.tasks,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.java.tasks,1289341444675
stopped,bundle,org.eclipse.mylyn.java.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.java.ui,1289341444675
stopped,bundle,org.eclipse.jdt.junit,3.4.0.v20080603-2000,org.eclipse.jdt.junit,1289341444675
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.100.v20080407-1345,org.eclipse.jdt.apt.ui,1289341444675
stopped,bundle,org.eclipse.jdt.debug.ui,3.3.1.v20080730_r341,org.eclipse.jdt.debug.ui,1289341444675
stopped,bundle,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui,1289341444675
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.bugzilla.ui,1289341444675
stopped,bundle,org.eclipse.mylyn.ide.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.ide.ui,1289341444675
stopped,bundle,org.eclipse.mylyn.team.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.team.ui,1289341444675
stopped,bundle,org.eclipse.mylyn.resources.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.resources.ui,1289341444675
stopped,bundle,org.eclipse.mylyn.context.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.context.ui,1289341444675
stopped,bundle,org.eclipse.mylyn.help.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.help.ui,1289341444675
stopped,bundle,org.eclipse.mylyn.tasks.bugs,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.tasks.bugs,1289341444675
stopped,bundle,org.eclipse.mylyn.tasks.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.tasks.ui,1289341444675
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.301.v200808072012,org.eclipse.wst.dtd.ui,1289341444675
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.105.v200811282340,org.eclipse.wst.xsd.ui,1289341444675
